from,to,key
DOID:2671,DOID:305,is_a
DOID:3627,DOID:520,is_a
DOID:11723,DOID:0080012,is_a
DOID:11723,DOID:9884,is_a
DOID:4971,DOID:0070004,is_a
DOID:1749,DOID:305,is_a
DOID:9036,DOID:10302,is_a
DOID:9036,DOID:8850,is_a
DOID:3620,DOID:3093,is_a
DOID:3308,DOID:305,is_a
DOID:3308,DOID:688,is_a
DOID:1432,DOID:5614,is_a
DOID:0050753,DOID:0050951,is_a
DOID:0050753,DOID:2786,is_a
DOID:9120,DOID:0014667,is_a
DOID:2033,DOID:0060038,is_a
DOID:12858,DOID:1289,is_a
DOID:706,DOID:707,is_a
DOID:8618,DOID:3119,is_a
DOID:8618,DOID:403,is_a
DOID:5158,DOID:201,is_a
DOID:0050155,DOID:863,is_a
DOID:4961,DOID:74,is_a
DOID:1227,DOID:12987,is_a
DOID:345,DOID:229,is_a
DOID:374,DOID:0060158,is_a
DOID:5183,DOID:2154,is_a
DOID:0060051,DOID:1287,is_a
DOID:0060051,DOID:417,is_a
DOID:3121,DOID:0060262,is_a
DOID:3121,DOID:4607,is_a
DOID:0060464,DOID:0050736,is_a
DOID:0060464,DOID:225,is_a
DOID:0080830,DOID:0080829,is_a
DOID:13378,DOID:1602,is_a
DOID:896,DOID:655,is_a
DOID:423,DOID:66,is_a
DOID:0050624,DOID:0060085,is_a
DOID:0050624,DOID:77,is_a
DOID:557,DOID:18,is_a
DOID:4159,DOID:0060122,is_a
DOID:4159,DOID:37,is_a
DOID:9553,DOID:28,is_a
DOID:2226,DOID:0070004,is_a
DOID:0060073,DOID:0060083,is_a
DOID:0060073,DOID:75,is_a
DOID:2349,DOID:0050828,is_a
DOID:707,DOID:0060060,is_a
DOID:48,DOID:15,is_a
DOID:863,DOID:7,is_a
DOID:13241,DOID:0060051,is_a
DOID:13241,DOID:865,is_a
DOID:0060041,DOID:0060040,is_a
DOID:1059,DOID:0060038,is_a
DOID:0014667,DOID:4,is_a
DOID:5679,DOID:5614,is_a
DOID:11054,DOID:365,is_a
DOID:11054,DOID:3996,is_a
DOID:117,DOID:114,is_a
DOID:117,DOID:176,is_a
DOID:0050736,DOID:0050739,is_a
DOID:2921,DOID:10952,is_a
DOID:2154,DOID:263,is_a
DOID:0050866,DOID:1749,is_a
DOID:0050866,DOID:8618,is_a
DOID:0060429,DOID:0080014,is_a
DOID:1428,DOID:26,is_a
DOID:635,DOID:526,is_a
DOID:2025,DOID:3594,is_a
DOID:8536,DOID:863,is_a
DOID:8536,DOID:934,is_a
DOID:10348,DOID:530,is_a
DOID:3918,DOID:0050624,is_a
DOID:3918,DOID:26,is_a
DOID:17,DOID:7,is_a
DOID:962,DOID:3193,is_a
DOID:768,DOID:771,is_a
DOID:10952,DOID:557,is_a
DOID:0050902,DOID:4706,is_a
DOID:657,DOID:0060084,is_a
DOID:1596,DOID:3324,is_a
DOID:0060260,DOID:5614,is_a
DOID:3388,DOID:403,is_a
DOID:4845,DOID:4851,is_a
DOID:9500,DOID:74,is_a
DOID:10155,DOID:3119,is_a
DOID:10155,DOID:5295,is_a
DOID:2871,DOID:1380,is_a
DOID:2871,DOID:305,is_a
DOID:3963,DOID:1781,is_a
DOID:3963,DOID:305,is_a
DOID:5672,DOID:10155,is_a
DOID:3594,DOID:2021,is_a
DOID:438,DOID:417,is_a
DOID:438,DOID:863,is_a
DOID:0060318,DOID:9119,is_a
DOID:0080015,DOID:4,is_a
DOID:0060056,DOID:2914,is_a
DOID:1967,DOID:4230,is_a
DOID:26,DOID:28,is_a
DOID:14681,DOID:0080015,is_a
DOID:201,DOID:0060100,is_a
DOID:201,DOID:65,is_a
DOID:1781,DOID:170,is_a
DOID:1781,DOID:50,is_a
DOID:4043,DOID:4045,is_a
DOID:10941,DOID:3527,is_a
DOID:12294,DOID:3324,is_a
DOID:10584,DOID:8466,is_a
DOID:686,DOID:305,is_a
DOID:686,DOID:3571,is_a
DOID:0050177,DOID:630,is_a
DOID:4194,DOID:0050013,is_a
DOID:0080014,DOID:630,is_a
DOID:120,DOID:193,is_a
DOID:120,DOID:229,is_a
DOID:3565,DOID:3620,is_a
DOID:193,DOID:0050686,is_a
DOID:193,DOID:15,is_a
DOID:0080074,DOID:0080015,is_a
DOID:0060037,DOID:150,is_a
DOID:184,DOID:0080001,is_a
DOID:184,DOID:201,is_a
DOID:865,DOID:178,is_a
DOID:0060040,DOID:0060037,is_a
DOID:12987,DOID:615,is_a
DOID:8771,DOID:37,is_a
DOID:8771,DOID:934,is_a
DOID:10944,DOID:403,is_a
DOID:0050745,DOID:707,is_a
DOID:4045,DOID:0060100,is_a
DOID:4045,DOID:0080000,is_a
DOID:0050686,DOID:162,is_a
DOID:4706,DOID:1319,is_a
DOID:2237,DOID:409,is_a
DOID:3347,DOID:0080639,is_a
DOID:2018,DOID:26,is_a
DOID:2018,DOID:4194,is_a
DOID:9835,DOID:5614,is_a
DOID:9538,DOID:0070004,is_a
DOID:9538,DOID:9500,is_a
DOID:421,DOID:16,is_a
DOID:0050885,DOID:225,is_a
DOID:3193,DOID:1192,is_a
DOID:12603,DOID:1037,is_a
DOID:9253,DOID:3119,is_a
DOID:18,DOID:7,is_a
DOID:1883,DOID:934,is_a
DOID:0060038,DOID:0060037,is_a
DOID:0060564,DOID:0080001,is_a
DOID:0070004,DOID:4960,is_a
DOID:3007,DOID:3459,is_a
DOID:9974,DOID:9973,is_a
DOID:594,DOID:2030,is_a
DOID:0050687,DOID:162,is_a
DOID:60009,DOID:0060089,is_a
DOID:60009,DOID:53,is_a
DOID:2021,DOID:363,is_a
DOID:2021,DOID:780,is_a
DOID:219,DOID:5353,is_a
DOID:219,DOID:9256,is_a
DOID:1067,DOID:1686,is_a
DOID:1074,DOID:557,is_a
DOID:5715,DOID:3829,is_a
DOID:3247,DOID:1115,is_a
DOID:3247,DOID:4043,is_a
DOID:5517,DOID:10534,is_a
DOID:5517,DOID:305,is_a
DOID:11934,DOID:0050686,is_a
DOID:4645,DOID:2174,is_a
DOID:4645,DOID:5679,is_a
DOID:0050829,DOID:1287,is_a
DOID:1795,DOID:1793,is_a
DOID:9799,DOID:5614,is_a
DOID:0110408,DOID:0050736,is_a
DOID:0110408,DOID:10584,is_a
DOID:37,DOID:16,is_a
DOID:530,DOID:37,is_a
DOID:1036,DOID:1240,is_a
DOID:2596,DOID:0050615,is_a
DOID:2596,DOID:786,is_a
DOID:4440,DOID:2994,is_a
DOID:150,DOID:4,is_a
DOID:3463,DOID:0060118,is_a
DOID:10548,DOID:10534,is_a
DOID:9884,DOID:423,is_a
DOID:2978,DOID:655,is_a
DOID:0050615,DOID:0050686,is_a
DOID:0050615,DOID:1579,is_a
DOID:5680,DOID:2998,is_a
DOID:5680,DOID:3308,is_a
DOID:2994,DOID:0050687,is_a
DOID:987,DOID:4535,is_a
DOID:14654,DOID:47,is_a
DOID:3748,DOID:1107,is_a
DOID:3748,DOID:1749,is_a
DOID:4752,DOID:0050890,is_a
DOID:14330,DOID:0050890,is_a
DOID:14566,DOID:4,is_a
DOID:9351,DOID:4194,is_a
DOID:3312,DOID:3324,is_a
DOID:3307,DOID:3095,is_a
DOID:4090,DOID:2033,is_a
DOID:15,DOID:7,is_a
DOID:2174,DOID:0060116,is_a
DOID:2174,DOID:5614,is_a
DOID:3571,DOID:0080355,is_a
DOID:3571,DOID:170,is_a
DOID:3571,DOID:409,is_a
DOID:2277,DOID:28,is_a
DOID:4195,DOID:4194,is_a
DOID:784,DOID:1074,is_a
DOID:289,DOID:229,is_a
DOID:4001,DOID:2151,is_a
DOID:10286,DOID:10283,is_a
DOID:10286,DOID:305,is_a
DOID:74,DOID:7,is_a
DOID:2621,DOID:1192,is_a
DOID:4450,DOID:4451,is_a
DOID:4226,DOID:5166,is_a
DOID:16,DOID:7,is_a
DOID:1091,DOID:403,is_a
DOID:162,DOID:14566,is_a
DOID:8986,DOID:535,is_a
DOID:0080053,DOID:4184,is_a
DOID:11983,DOID:0080014,is_a
DOID:11983,DOID:225,is_a
DOID:225,DOID:4,is_a
DOID:4362,DOID:2253,is_a
DOID:4362,DOID:363,is_a
DOID:3952,DOID:9553,is_a
DOID:3093,DOID:0050686,is_a
DOID:3119,DOID:0050686,is_a
DOID:3119,DOID:77,is_a
DOID:615,DOID:9500,is_a
DOID:630,DOID:4,is_a
DOID:1380,DOID:289,is_a
DOID:1380,DOID:363,is_a
DOID:3717,DOID:299,is_a
DOID:3717,DOID:5517,is_a
DOID:9744,DOID:0060005,is_a
DOID:9744,DOID:9351,is_a
DOID:3590,DOID:1380,is_a
DOID:3590,DOID:4085,is_a
DOID:1289,DOID:331,is_a
DOID:5419,DOID:2468,is_a
DOID:1192,DOID:3093,is_a
DOID:1192,DOID:574,is_a
DOID:1579,DOID:7,is_a
DOID:2519,DOID:2277,is_a
DOID:2519,DOID:48,is_a
DOID:0060083,DOID:0050686,is_a
DOID:0060083,DOID:2914,is_a
DOID:3355,DOID:201,is_a
DOID:5041,DOID:3119,is_a
DOID:5041,DOID:6050,is_a
DOID:10763,DOID:0050828,is_a
DOID:1070,DOID:1067,is_a
DOID:14067,DOID:12365,is_a
DOID:4851,DOID:0080830,is_a
DOID:0060119,DOID:3119,is_a
DOID:7,DOID:4,is_a
DOID:8850,DOID:10854,is_a
DOID:8850,DOID:8618,is_a
DOID:1107,DOID:305,is_a
DOID:1107,DOID:5041,is_a
DOID:0080000,DOID:17,is_a
DOID:5166,DOID:1380,is_a
DOID:5719,DOID:3953,is_a
DOID:0060334,DOID:11717,is_a
DOID:319,DOID:331,is_a
DOID:8893,DOID:0060039,is_a
DOID:363,DOID:120,is_a
DOID:363,DOID:345,is_a
DOID:8725,DOID:1307,is_a
DOID:9279,DOID:9252,is_a
DOID:0060060,DOID:0060058,is_a
DOID:6271,DOID:10548,is_a
DOID:6271,DOID:3717,is_a
DOID:974,DOID:1579,is_a
DOID:7693,DOID:3627,is_a
DOID:0050735,DOID:0050177,is_a
DOID:780,DOID:345,is_a
DOID:1240,DOID:2531,is_a
DOID:0050890,DOID:1289,is_a
DOID:403,DOID:77,is_a
DOID:5295,DOID:77,is_a
DOID:5093,DOID:0050686,is_a
DOID:5093,DOID:0060118,is_a
DOID:76,DOID:77,is_a
DOID:1100,DOID:2277,is_a
DOID:1100,DOID:229,is_a
DOID:0060004,DOID:331,is_a
DOID:0060004,DOID:438,is_a
DOID:3304,DOID:2994,is_a
DOID:1319,DOID:3620,is_a
DOID:1319,DOID:936,is_a
DOID:7474,DOID:0050615,is_a
DOID:7474,DOID:1532,is_a
DOID:7474,DOID:1749,is_a
DOID:7474,DOID:5158,is_a
DOID:769,DOID:2621,is_a
DOID:47,DOID:48,is_a
DOID:4007,DOID:11054,is_a
DOID:4007,DOID:305,is_a
DOID:5409,DOID:3905,is_a
DOID:303,DOID:150,is_a
DOID:9296,DOID:0050567,is_a
DOID:9296,DOID:9297,is_a
DOID:3068,DOID:3069,is_a
DOID:3953,DOID:170,is_a
DOID:3953,DOID:9553,is_a
DOID:365,DOID:18,is_a
DOID:4230,DOID:4045,is_a
DOID:1686,DOID:5614,is_a
DOID:0050828,DOID:178,is_a
