,B3GALT5-AS1,PCA3,LINC01531,HPN-AS1,HULC,TRERNA1,PSORS1C3,ATE1-AS1,NORAD,TP53TG1,FBXW7-AS1,CTBP1-AS,TP53COR1,ABALON,LINC01587,AGAP2-AS1,PISRT1,LINC01098,DSCR10,BANCR,LINC-ROR,LINC00602,MIR194-2HG,IFNG-AS1,HCG9,NBR2,TUSC7,FAM83H-AS1,MHRT,LINC00163,TTTY2,SPRY4-IT1,CASC8,ZNF667-AS1,LINC01080,ESRG,SNHG1,PARD6G-AS1,LINC00271,CADM3-AS1,NFIA-AS1,LOXL1-AS1,MYCNOS,CECR7,SOX2-OT,HYMAI,SNHG11,LINC01387,PWAR4,LINCMD1,LINC01081,GAS5,LINC00856,TP73-AS1,PTCSC3,SERTAD4-AS1,JAZF1-AS1,LINC00467,GABPB1-AS1,MIR17HG,PANDAR,AFAP1-AS1,LINC00474,DBH-AS1,DBET,DISC1FP1,C5orf66-AS2,LINC00922,MIR503HG,VLDLR-AS1,LINC01235,EPB41L4A-AS1,DANCR,TUSC8,CASC16,MESTIT1,OIP5-AS1,HCCAT5,HELLPAR,MIR22HG,CASC2,GHRLOS,EGOT,CYTOR,HCP5,LINC00654,NBAT1,LINC01184,PWRN1,MIAT,LINC00336,CASC15,EWSAT1,TUG1,KCNQ1OT1,GNAS-AS1,LINC00315,LINC00974,LINC00575,TSIX,LINC00583,LINC00261,LSINCT5,MCHR2-AS1,MEG8,CCDC26,LINC00479,PWAR5,ZFAS1,TEX41,HNF1A-AS1,DSCR9,LINC00319,MIF-AS1,LINC01588,H19,CARMN,LINC00663,MIR7-3HG,KIRREL3-AS3,LINC01556,MEG3,TTTY4,NEAT1,CAHM,HLA-F-AS1,NPSR1-AS1,FALEC,MIR155HG,FMR1-AS1,ERICH1-AS1,TINCR,SCHLAP1,BLACAT1,GPR1-AS,LRRC3DN,LINC00687,LINC00273,FAM30A,LINC00942,MIR99AHG,NCRUPAR,LINC00629,NUP50-AS1,HCG4,LINC01602,ZEB1-AS1,RAD51-AS1,LINC01133,LINC01024,HAS2-AS1,LINC00299,HAND2-AS1,XIST,NALT1,SAMMSON,DLEU2,HCG27,HAR1A,LINC00511,BCYRN1,LINC00472,PCGEM1,IL12A-AS1,ATXN8OS,PTCSC2,OLMALINC,DIO3OS,DISC2,MIR137HG,APTR,TDRG1,LINC00032,HOTAIR,LINC00293,LINC01628,GHET1,LUCAT1,LINC00961,DAOA-AS1,NRON,LINC-PINT,PICSAR,COL18A1-AS1,BCAR4,FENDRR,PCAT5,HOXA11-AS,LINC00473,CRNDE,LINC00312,RMST,MALAT1,ADORA2A-AS1,CDKN2B-AS1,CDKN2A-AS1,SNHG4,CCAT1,PCAT4,TTTY15,MIR124-2HG,COPG2IT1,NPTN-IT1,IGF2-AS,PCAT1,IL10RB-AS1,LMCD1-AS1,WT1-AS,GACAT2,CDR1-AS,NCAM1-AS1,PEG3-AS1,MIR181A1HG,C5orf66-AS1,TARID,MINCR,PVT1,LINC00477,GSTT1-AS1,CCAT2,HOTTIP,PRINS,MIR4435-2HG,LINC00963,PSMB8-AS1,MIR100HG,C1QTNF9B-AS1,HOTAIRM1,THRIL,SNHG12,PARTICL,KCTD21-AS1,PRNCR1,CBR3-AS1,UCA1,XACT,LINC01426,GATA3-AS1,LINC00675,GNG12-AS1
B3GALT5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCA3,0.0,0.0,0.0,0.0,0.4176459504650147,0.0,0.0918558451332855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0581640091259936,0.0,0.0,0.3464882734572525,0.0,0.0,0.0,0.0663416530344503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109769206130628,0.0,0.0,0.0,0.2026756988090983,0.0,0.0,0.0854772971085767,0.0,0.0,0.0,0.335351865117057,0.0,0.2680993120964053,0.0771949809860452,0.0771949809860452,0.0,0.0,0.0581640091259936,0.0,0.7008381298203681,0.0,0.0,0.335351865117057,0.0,0.0,0.0,0.0,0.4992235950703347,0.5381310956681954,0.0918558451332855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5381310956681954,0.0918558451332855,0.5444680196303917,0.0,0.1121391355941631,0.0,0.0,0.0,0.0,0.4773538405223149,0.0,0.0,0.0,0.0918558451332855,0.0,0.0,0.0,0.0,0.3565464860805521,0.0,0.0,0.0,0.3671606820966759,0.3796549289149807,0.0771949809860452,0.0,0.0,0.0,0.0,0.0,0.0,0.5196203427847106,0.0,0.0,0.35020040957065096,0.0,0.0,0.0,0.0,0.3604522862098891,0.0,0.0,0.0,0.0,0.663583738193529,0.0,0.0,0.335351865117057,0.0,0.0,0.6807243802480557,0.0,0.0,0.0,0.0,0.0,0.0,0.2993520494319689,0.0,0.0,0.4073844504380748,1.0,0.4450773122476672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2993520494319689,0.0,0.0,0.0918558451332855,0.0,0.6021984921192332,0.0,0.0,0.360320155756231,0.0,0.0851600024256062,0.0,0.4688456578440165,0.0,1.0,0.0,0.0642972420573362,0.0,0.0,0.0,0.104025819409812,0.0,0.0,0.7469266775724397,0.35020040957065096,0.4638062026941441,0.0,0.0,0.4450773122476672,0.0,0.0,0.0918558451332855,0.1070683129789437,0.0,0.0,0.0,0.4450773122476672,0.0,0.0,0.0,0.0,0.335351865117057,0.3825010932767529,0.335351865117057,0.7006181802070335,0.0,0.6218279320963734,0.0,0.335351865117057,0.4176459504650147,0.0,0.0,0.0,0.0,0.329351895836209,0.7230243264285325,0.8845327739170489,0.0,0.0,0.361713832315557,0.0,0.0,0.0,0.0,0.0,0.0,0.5381310956681954,0.0,0.6910129259948965,0.0,0.0,0.335351865117057,0.335351865117057,0.0918558451332855,0.0,0.0,0.0,0.0581640091259936,1.0,0.0,0.0663416530344503,0.0,0.0,0.0,1.0,0.8375501023926628,0.4748598928630861,0.0,0.0,0.0,0.0,0.0
LINC01531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPN-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HULC,0.0,0.4176459504650147,0.0,0.0,0.0,0.0,0.09900569269800501,0.0,0.0,0.0,0.0,0.4176459504650147,0.0,0.0,0.0,0.0,0.0639403753482751,0.0,0.0,0.3764655495850966,0.0,0.0,0.0,0.0724372380210323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6042557871970413,0.0,0.0,0.0,0.2180382567482565,0.0,0.0,0.0921630201356754,0.0,0.0,0.0,0.3686562266173986,0.0,0.4036076939756794,0.0837282069198307,0.0837282069198307,0.0,0.0,0.0639403753482751,0.0,0.4646948586376103,0.0,0.0,0.3686562266173986,0.0,0.0,0.0,0.0,0.5349133834534043,0.5741217623978571,0.09900569269800501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5741217623978571,0.09900569269800501,0.4176459504650147,0.0,0.12019065969844198,0.0,0.0,0.0,0.0,0.3686562266173986,0.0,0.0,0.0,0.09900569269800501,0.0,0.0,0.0,0.0,0.3718963403694501,0.0,0.0,0.0,0.3956786359893559,0.6929904568717531,0.0837282069198307,0.0,0.0,0.0,0.0,0.0,0.0,0.4659897906000687,0.0,0.0,0.3774592034111442,0.0,0.0,0.0,0.0,0.520765355434478,0.0,0.0,0.0,0.0,0.6343675871972472,0.0,0.0,0.9426782202917268,0.0,0.0,0.6527518375005811,0.0,0.0,0.0,0.0,0.0,0.0,0.3312861219726316,0.0,0.0,0.5895799950847143,0.4176459504650147,0.4827454430221488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312861219726316,0.0,0.0,0.09900569269800501,0.0,0.4929284926606689,0.0,0.0,0.3939454355184755,0.0,0.0918195488931521,0.0,0.5165013361737383,0.0,0.4176459504650147,0.0,0.0702520757026785,0.0,0.0,0.0,0.1114435447484321,0.0,0.0,0.4176459504650147,0.3774592034111442,0.7025206586869996,0.0,0.0,0.6871600106975169,0.0,0.0,0.09900569269800501,0.1147237128546858,0.0,0.0,0.0,0.4827454430221488,0.0,0.0,0.0,0.0,0.5247606586200233,0.5944946761023007,0.3686562266173986,0.6817128579733778,0.0,0.4608748325436405,0.0,0.3686562266173986,0.6453756203194849,0.0,0.0,0.0,0.0,0.7241421411816851,0.6599360311227624,0.5349133834534043,0.0,0.0,0.3954425735554535,0.0,0.0,0.0,0.0,0.0,0.0,0.5741217623978571,0.0,0.6528662936717641,0.0,0.0,0.3686562266173986,0.9426782202917268,0.09900569269800501,0.0,0.0,0.0,0.0639403753482751,0.4176459504650147,0.0,0.0724372380210323,0.0,0.0,0.0,0.4176459504650147,0.4060407777993037,0.7379074573745525,0.0,0.0,0.0,0.0,0.0
TRERNA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSORS1C3,0.0,0.0918558451332855,0.0,0.0,0.09900569269800501,0.0,0.0,0.0,0.0,0.0,0.0,0.0918558451332855,0.0,0.0,0.0,0.0,0.1852329534433414,0.0,0.0,0.1119664940073224,0.0,0.0,0.0,0.2066756515498923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1123797311520733,0.0,0.0,0.0,0.149654564078296,0.0,0.0,0.1143490160191614,0.0,0.0,0.0,0.0823257570859295,0.0,0.1755881779339016,0.1045656712353635,0.1045656712353635,0.0,0.0,0.1852329534433414,0.0,0.2055719631750558,0.0,0.0,0.0823257570859295,0.0,0.0,0.0,0.0,0.1586506683985999,0.180915609487038,0.2741551642075203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180915609487038,0.2741551642075202,0.0918558451332855,0.0,0.1459706031424227,0.0,0.0,0.0,0.0,0.0823257570859295,0.0,0.0,0.0,0.1218467396477867,0.0,0.0,0.0,0.0,0.1780642706709887,0.0,0.0,0.0,0.1797913928108156,0.1467244041053016,0.1045656712353635,0.0,0.0,0.0,0.0,0.0,0.0,0.10138821470984401,0.0,0.0,0.1218467396477868,0.0,0.0,0.0,0.0,0.10138821470984401,0.0,0.0,0.0,0.0,0.2230884084485841,0.0,0.0,0.0823257570859295,0.0,0.0,0.1703769600936601,0.0,0.0,0.0,0.0,0.0,0.0,0.0750759127673923,0.0,0.0,0.1045656712353635,0.0918558451332855,0.1045656712353635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750759127673924,0.0,0.0,0.1218467396477867,0.0,0.1532451447668663,0.0,0.0,0.0873758315757098,0.0,0.2116022387193251,0.0,0.1574350840024268,0.0,0.0918558451332855,0.0,0.2013149770232546,0.0,0.0,0.0,0.1363210577445683,0.0,0.0,0.0918558451332855,0.1218467396477868,0.1421544053100555,0.0,0.0,0.1045656712353635,0.0,0.0,0.1218467396477868,0.1399396372687637,0.0,0.0,0.0,0.1045656712353635,0.0,0.0,0.0,0.0,0.0823257570859295,0.0918558451332855,0.0823257570859295,0.1371619857832065,0.0,0.2810473107547426,0.0,0.0823257570859295,0.09900569269800501,0.0,0.0,0.0,0.0,0.0811174496995067,0.090664584127366,0.1586506683985999,0.0,0.0,0.0876608620418122,0.0,0.0,0.0,0.0,0.0,0.0,0.180915609487038,0.0,0.1412272593714647,0.0,0.0,0.0823257570859295,0.0823257570859295,1.0,0.0,0.0,0.0,0.1852329534433414,0.0918558451332855,0.0,0.2066756515498924,0.0,0.0,0.0,0.0918558451332855,0.1143490160191614,0.1481516427714248,0.0,0.0,0.0,0.0,0.0
ATE1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53TG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
