source,target,value,source_type,target_type
DOID:0050686,mir539,1,1,2
DOID:3069,mir153,1,1,2
DOID:18,mir371a,1,1,2
NEAT1,DOID:305,1,0,1
DOID:0060084,mir203,1,1,2
DOID:3119,mir361,1,1,2
DOID:8850,mir188,1,1,2
PTCSC3,DOID:162,1,0,1
DOID:686,mir20b,1,1,2
DOID:0060100,mir20a,1,1,2
DOID:3620,mir19a,1,1,2
XIST,DOID:11054,1,0,1
DOID:3996,mir210,1,1,2
DOID:4607,mir370,1,1,2
DOID:114,mir519b,1,1,2
DOID:65,mir140,1,1,2
DOID:289,mir200b,1,1,2
DOID:2377,mir648,1,1,2
DOID:4450,mir124a,1,1,2
MEG3,DOID:5672,1,0,1
DOID:120,mir372,1,1,2
DOID:655,mir206,1,1,2
DOID:12336,mir371a,1,1,2
DOID:4362,mir375,1,1,2
DOID:10534,mir206,1,1,2
DOID:17,mir133a,1,1,2
DOID:7148,mir124,1,1,2
DOID:1781,mir375,1,1,2
DOID:0060084,mir383,1,1,2
DOID:3069,mir210,1,1,2
mir1245a,mir4306,1,2,2
LINC00473,mir210,1,0,2
DOID:0060072,mir214,1,1,2
DOID:1240,mir143,1,1,2
DOID:0070004,mir24,1,1,2
DOID:331,mir128,1,1,2
DOID:686,mir550a,1,1,2
DOID:1793,mir429,1,1,2
DOID:2596,mir24,1,1,2
DOID:3620,mir153,1,1,2
DOID:10283,mir146a,1,1,2
DOID:684,mir10b,1,1,2
DOID:104,mir451a,1,1,2
AFAP1-AS1,DOID:9256,1,0,1
DOID:2600,mir378a,1,1,2
DOID:848,mir140,1,1,2
DOID:305,mir497,1,1,2
mir527,mir371,1,2,2
DOID:120,mir140,1,1,2
DOID:0060058,mir363,1,1,2
TUG1,DOID:686,1,0,1
DOID:1936,mir210,1,1,2
HOTTIP,DOID:1793,1,0,1
DOID:4,mir130b,1,1,2
GAS5,DOID:7,1,0,1
LINC00675,DOID:305,1,0,1
DOID:225,mir133a,1,1,2
DOID:0060072,mir149,1,1,2
DOID:2394,mir375,1,1,2
DOID:3571,mir148b,1,1,2
DOID:686,mir222,1,1,2
DOID:15,mir135a,1,1,2
TP53COR1,DOID:9256,1,0,1
DOID:77,mir141,1,1,2
DOID:684,mir34c,1,1,2
mir449c,mir605,1,2,2
DOID:305,mir138,1,1,2
DOID:0060037,mir652,1,1,2
DOID:3388,mir146a,1,1,2
DOID:4194,mir20b,1,1,2
MALAT1,mir135a,1,0,2
DOID:0050686,mir630,1,1,2
GAS5,DOID:3571,1,0,1
PVT1,mir497,1,0,2
NEAT1,DOID:686,1,0,1
DOID:1324,mir23a,1,1,2
DOID:263,mir155,1,1,2
DOID:66,mir25,1,1,2
DOID:0060072,mir24,1,1,2
DOID:1240,mir15b,1,1,2
DOID:1749,mir214,1,1,2
DOID:15,mir429,1,1,2
DOID:3996,mir760,1,1,2
DOID:686,mir449b,1,1,2
DOID:9835,mir328,1,1,2
DOID:684,mir190a,1,1,2
DOID:16,mir155,1,1,2
BCYRN1,DOID:7,1,0,1
DOID:11054,mir29b,1,1,2
CECR7,mir873,1,0,2
DOID:0050686,mir378c,1,1,2
DOID:162,mir181a,1,1,2
DOID:4,mir146a,1,1,2
HOTAIR,DOID:0080001,1,0,1
NEAT1,mir181a,1,0,2
DOID:1612,mir22,1,1,2
DOID:0060072,mir137,1,1,2
DOID:3571,mir181d,1,1,2
DOID:331,mir494,1,1,2
DOID:15,mir193a,1,1,2
XIST,DOID:686,1,0,1
DOID:77,mir155,1,1,2
DOID:9352,mir15a,1,1,2
WT1-AS,DOID:0070004,1,0,1
DOID:399,mir302a,1,1,2
DOID:10652,mir146a,1,1,2
DOID:3070,mir146a,1,1,2
DOID:0060083,mir148b,1,1,2
DOID:162,mir520h,1,1,2
DOID:4,mir499a,1,1,2
DOID:1324,mir29b,1,1,2
ATXN8OS,DOID:14330,1,0,1
DOID:3571,mir526a,1,1,2
LINC00474,DOID:7,1,0,1
DOID:14566,mir16,1,1,2
DOID:4706,mir146a,1,1,2
XIST,mir181a,1,0,2
DOID:3996,mir378f,1,1,2
DOID:9261,mir218,1,1,2
CDKN2B-AS1,DOID:3527,1,0,1
DOID:5041,mir486,1,1,2
DOID:3093,mir30c,1,1,2
